日期,部门,平台,子平台,成交金额,目标金额
2026/5/25,奶粉,京东,自营,26.57,23.69
2026/5/25,奶粉,天猫,猫旗,0.8,0.81
2026/5/25,奶粉,拼多多,拼多多,1.95,1.96
2026/5/26,奶粉,抖音,抖音,5.43,5.43
2026/5/26,奶粉,京东,pop,0.07,0.08
2026/5/26,奶粉,京东,自营,15.56,15.56
2026/5/26,奶粉,天猫,猫旗,0.39,0.39
2026/5/26,奶粉,拼多多,拼多多,1.88,1.88
2026/5/27,奶粉,抖音,抖音,9.4,4.49
2026/5/27,奶粉,京东,pop,0.06,0.13
2026/5/27,奶粉,京东,自营,17.35,16.47
2026/5/27,奶粉,天猫,猫旗,0.61,1.36
2026/5/27,奶粉,拼多多,拼多多,1.91,1.35
2026/5/13,常温,抖音,抖音,41.01,38.02
2026/5/13,常温,京东,pop,14.12,14.12
2026/5/13,常温,京东,自营,89.83,100.0
2026/5/13,常温,天猫,猫旗,8.75,8.75
2026/5/13,常温,天猫,猫超,21.99,21.99
2026/5/13,常温,拼多多,拼多多,12.65,24.0
2026/5/14,常温,抖音,抖音,24.84,23.12
2026/5/14,常温,京东,pop,6.79,6.78
2026/5/14,常温,京东,自营,102.22,100.0
2026/5/14,常温,天猫,猫旗,6.56,6.56
2026/5/14,常温,天猫,猫超,24.99,24.99
2026/5/14,常温,拼多多,拼多多,11.32,23.0
2026/5/15,常温,抖音,抖音,31.32,27.97
2026/5/15,常温,京东,pop,4.89,4.89
2026/5/15,常温,京东,自营,87.06,90.0
2026/5/15,常温,天猫,猫旗,5.9,5.9
2026/5/15,常温,天猫,猫超,30.94,30.94
2026/5/15,常温,拼多多,拼多多,11.18,23.0
2026/5/16,常温,抖音,抖音,26.15,23.74
2026/5/16,常温,京东,pop,5.97,5.96
2026/5/16,常温,京东,自营,76.5,100.0
2026/5/16,常温,天猫,猫旗,6.36,6.36
2026/5/16,常温,天猫,猫超,25.16,25.16
2026/5/16,常温,拼多多,拼多多,12.73,24.0
2026/5/17,常温,抖音,抖音,33.56,30.39
2026/5/17,常温,京东,pop,6.38,6.39
2026/5/17,常温,京东,自营,71.27,100.0
2026/5/17,常温,天猫,猫旗,7.32,7.32
2026/5/17,常温,天猫,猫超,24.12,24.12
2026/5/17,常温,拼多多,拼多多,13.56,25.0
2026/5/18,常温,抖音,抖音,25.87,23.01
2026/5/18,常温,京东,pop,7.18,7.17
2026/5/18,常温,京东,自营,83.73,110.0
2026/5/18,常温,天猫,猫旗,6.39,6.39
2026/5/18,常温,天猫,猫超,24.68,24.68
2026/5/18,常温,拼多多,拼多多,11.43,23.0
2026/5/19,常温,抖音,抖音,26.61,23.02
2026/5/19,常温,京东,pop,6.4,6.4
2026/5/19,常温,京东,自营,109.82,100.0
2026/5/19,常温,天猫,猫旗,6.0,6.0
2026/5/19,常温,天猫,猫超,21.45,21.45
2026/5/19,常温,拼多多,拼多多,11.02,23.0
2026/5/20,常温,抖音,抖音,22.73,20.28
2026/5/20,常温,京东,pop,5.51,5.51
2026/5/20,常温,京东,自营,80.65,100.0
2026/5/20,常温,天猫,猫旗,6.59,6.59
2026/5/20,常温,天猫,猫超,42.81,42.81
2026/5/20,常温,拼多多,拼多多,10.57,22.0
2026/5/21,常温,抖音,抖音,25.34,23.26
